Time,mq2_GI,mq4_GI
3:50:00,14,14
4:00:00,15,16
4:10:00,16,18
4:20:00,17,19
4:30:00,18,21
4:40:00,20,22
4:50:00,21,24
5:00:00,21,25
5:10:00,22,26
5:20:00,23,27
5:30:00,24,28
5:40:00,25,29
5:50:00,25,30
6:00:00,26,31
6:10:00,27,32
6:20:00,27,33
6:30:00,28,33
6:40:00,28,34
6:50:00,29,35
7:00:00,29,35
7:10:00,30,36
7:20:00,30,36
7:30:00,31,36
7:40:00,31,37
7:50:00,31,37
8:00:00,31,37
8:10:00,31,38
8:20:00,31,38
8:30:00,31,38
8:40:00,32,38
8:50:00,32,38
9:00:00,32,38
9:10:00,32,38
9:20:00,32,39
9:30:00,32,39
9:40:00,33,39
9:50:00,33,39
10:00:00,33,40
10:10:00,33,40
10:20:00,33,40
10:30:00,33,40
10:40:00,34,40
10:50:00,34,41
11:00:00,34,41
11:10:00,34,41
11:20:00,34,42
11:30:00,35,42
11:40:00,35,43
11:50:00,35,43
12:00:00,36,44
12:10:00,36,44
12:20:00,36,45
12:30:00,37,46
12:40:00,37,46
12:50:00,37,47
13:00:00,38,47
13:10:00,38,48
13:20:00,39,49
13:30:00,39,49
13:40:00,39,50
13:50:00,39,50
14:00:00,40,51
14:10:00,40,51
14:20:00,40,52
14:30:00,41,52
14:40:00,41,52
14:50:00,41,53
15:00:00,41,53
15:10:00,42,54
15:20:00,42,54
15:30:00,42,54
15:40:00,42,55
15:50:00,43,55
16:00:00,43,55
16:10:00,43,56
16:20:00,43,56
16:30:00,44,56
16:40:00,44,57
16:50:00,44,57
17:00:00,44,57
17:10:00,44,58
17:20:00,45,58
17:30:00,45,58
17:40:00,45,59
17:50:00,45,59
18:00:00,45,59
18:10:00,45,60
18:20:00,46,60
18:30:00,46,60
18:40:00,46,60
18:50:00,46,61
19:00:00,46,61
19:10:00,46,61
19:20:00,46,62
19:30:00,47,62
19:40:00,47,62
19:50:00,47,62
20:00:00,47,63
20:10:00,47,63
20:20:00,47,63
20:30:00,47,63
20:40:00,47,64
20:50:00,48,64
21:00:00,48,64
21:10:00,48,64
21:20:00,48,65
21:30:00,48,65
21:40:00,48,65
21:50:00,48,65
22:00:00,48,66
22:10:00,49,66
22:20:00,49,66
22:30:00,49,66
22:40:00,49,67
22:50:00,49,67
23:00:00,49,67
23:10:00,49,67
23:20:00,49,68
23:30:00,49,68
23:40:00,49,68
23:50:00,50,68
0:00:00,50,69
0:10:00,50,69
0:20:00,50,69
0:30:00,50,69
0:40:00,50,70
0:50:00,50,70
1:00:00,50,70
1:10:00,50,71
1:20:00,50,71
1:30:00,51,71
1:40:00,51,72
1:50:00,51,72
2:00:00,51,72
2:10:00,51,72
2:20:00,51,72
2:30:00,51,73
2:40:00,54,77
2:50:00,56,80
3:00:00,57,82
3:10:00,58,83
3:20:00,59,85
3:30:00,59,86
3:40:00,60,86
3:50:00,60,87
4:00:00,60,88
4:10:00,60,88
4:20:00,60,88
4:30:00,61,89
4:40:00,61,89
4:50:00,61,89
5:00:00,61,90
5:10:00,61,90
5:20:00,61,90
5:30:00,61,90
5:40:00,61,90
5:50:00,61,90
6:00:00,61,91
6:10:00,61,91
6:20:00,61,91
6:30:00,61,91
6:40:00,61,91
6:50:00,61,91
7:00:00,61,91
7:10:00,61,91
7:20:00,61,91
7:30:00,61,91
7:40:00,61,91
7:50:00,61,92
8:00:00,61,92
8:10:00,61,92
8:20:00,61,92
8:30:00,61,92
8:40:00,61,92
8:50:00,61,92
9:00:00,61,92
9:10:00,61,92
9:20:00,61,92
9:30:00,61,92
9:40:00,61,92
9:50:00,61,92
10:00:00,61,92
10:10:00,61,92
10:20:00,61,93
10:30:00,61,93
10:40:00,61,93
10:50:00,61,93
11:00:00,61,93
11:10:00,61,93
11:20:00,61,93
11:30:00,61,93
11:40:00,61,93
11:50:00,61,93
12:00:00,61,93
12:10:00,61,93
12:20:00,61,94
12:30:00,61,94
12:40:00,61,94
12:50:00,61,94
13:00:00,61,94
13:10:00,61,94
13:20:00,61,94
13:30:00,61,94
13:40:00,62,94
13:50:00,62,94
14:00:00,62,94
14:10:00,62,94
14:20:00,62,94
14:30:00,62,95
14:40:00,62,95
14:50:00,62,95
15:00:00,62,95
15:10:00,62,95
15:20:00,62,95
15:30:00,62,95
15:40:00,62,95
15:50:00,62,95
16:00:00,62,95
16:10:00,62,95
16:20:00,62,95
16:30:00,62,95
16:40:00,62,95
16:50:00,62,95
17:00:00,62,95
17:10:00,62,95
17:20:00,62,95
17:30:00,62,95
17:40:00,62,95
17:50:00,62,95
18:00:00,62,96
18:10:00,62,96
18:20:00,62,96
18:30:00,62,96
18:40:00,62,96
18:50:00,62,96
19:00:00,62,96
19:10:00,62,96
19:20:00,62,96
19:30:00,62,96
19:40:00,62,96
19:50:00,62,96
20:00:00,62,96
20:10:00,60,94
20:20:00,52,85
20:30:00,52,84
20:40:00,52,84
20:50:00,52,84
21:00:00,52,84
21:10:00,52,84
21:20:00,53,84
21:30:00,53,84
21:40:00,53,84
21:50:00,53,84
22:00:00,53,84
22:10:00,54,84
22:20:00,54,84
22:30:00,54,84
22:40:00,54,84
22:50:00,54,85
23:00:00,54,85
23:10:00,54,85
23:20:00,54,85
23:30:00,55,85
23:40:00,55,85
23:50:00,55,85
0:00:00,55,85
0:10:00,55,85
0:20:00,55,85
0:30:00,55,85
0:40:00,55,85
0:50:00,55,86
1:00:00,55,86
1:10:00,56,86
1:20:00,56,86
1:30:00,56,86
1:40:00,56,86
1:50:00,56,86
2:00:00,56,86
2:10:00,56,86
2:20:00,56,86
2:30:00,56,86
2:40:00,56,86
2:50:00,56,86
3:00:00,56,86
3:10:00,56,86
3:20:00,56,86
3:30:00,56,86
3:40:00,56,86
3:50:00,56,86
4:00:00,56,86
4:10:00,56,86
4:20:00,56,86
4:30:00,56,86
4:40:00,56,86
4:50:00,56,86
5:00:00,56,86
5:10:00,56,86
5:20:00,56,87
5:30:00,56,87
5:40:00,56,87
5:50:00,56,87
6:00:00,56,87
6:10:00,56,87
6:20:00,56,87
6:30:00,56,87
6:40:00,56,87
6:50:00,56,87
7:00:00,56,87
7:10:00,56,87
7:20:00,56,87
7:30:00,56,87
7:40:00,56,87
7:50:00,56,87
8:00:00,56,87
8:10:00,56,87
8:20:00,56,87
8:30:00,56,88
8:40:00,56,88
8:50:00,56,88
9:00:00,56,88
9:10:00,56,88
9:20:00,56,88
9:30:00,56,88
9:40:00,56,88
9:50:00,56,88
10:00:00,56,88
10:10:00,56,88
10:20:00,56,88
10:30:00,56,88
10:40:00,56,88
10:50:00,56,88
11:00:00,56,88
11:10:00,56,88
11:20:00,56,88
11:30:00,56,88
11:40:00,56,89
11:50:00,57,89
12:00:00,57,89
12:10:00,57,89
12:20:00,57,89
12:30:00,57,89
12:40:00,57,89
12:50:00,57,89
13:00:00,57,89
13:10:00,57,89
13:20:00,57,89
13:30:00,57,89
13:40:00,57,89
13:50:00,57,89
14:00:00,57,89
14:10:00,57,89
14:20:00,57,89
14:30:00,57,90
14:40:00,57,90
14:50:00,57,90
15:00:00,57,90
15:10:00,57,90
15:20:00,57,90
15:30:00,57,90
15:40:00,57,90
15:50:00,57,90
16:00:00,57,90
16:10:00,57,90
16:20:00,57,90
16:30:00,57,90
16:40:00,57,90
16:50:00,57,90
17:00:00,57,90
17:10:00,57,91
17:20:00,57,91
17:30:00,58,91
17:40:00,58,91
17:50:00,58,92
18:00:00,58,92
18:10:00,58,92
18:20:00,58,92
18:30:00,58,92
18:40:00,58,92
18:50:00,58,92
19:00:00,58,92
19:10:00,58,92
19:20:00,57,92
19:30:00,57,92
19:40:00,57,92
19:50:00,57,92
20:00:00,57,92
20:10:00,57,92
20:20:00,57,92
20:30:00,57,92
20:40:00,60,94
20:50:00,59,93
21:00:00,59,93
21:10:00,59,93
21:20:00,59,93
21:30:00,59,93
21:40:00,59,93
21:50:00,59,93
22:00:00,59,93
22:10:00,59,94
22:20:00,59,94
22:30:00,59,94
22:40:00,59,94
22:50:00,59,94
23:00:00,59,94
23:10:00,59,94
23:20:00,59,94
23:30:00,59,94
23:40:00,59,94
23:50:00,59,94
0:00:00,59,94
0:10:00,59,94
0:20:00,59,94
0:30:00,59,94
0:40:00,59,94
0:50:00,59,94
1:00:00,59,94
1:10:00,59,94
1:20:00,59,94
1:30:00,59,94
1:40:00,59,94
1:50:00,59,94
2:00:00,59,94
2:10:00,59,94
2:20:00,59,94
2:30:00,59,94
2:40:00,59,94
2:50:00,59,94
3:00:00,59,94
3:10:00,59,94
3:20:00,59,94
3:30:00,59,94
3:40:00,59,94
3:50:00,58,94
4:00:00,58,94
4:10:00,58,94
4:20:00,58,94
4:30:00,58,94
4:40:00,58,94
4:50:00,58,94
5:00:00,58,94
5:10:00,58,94
5:20:00,58,94
5:30:00,58,94
5:40:00,58,94
5:50:00,58,94
6:00:00,58,94
6:10:00,58,94
6:20:00,58,94
6:30:00,58,94
6:40:00,58,94
6:50:00,58,94
7:00:00,58,94
7:10:00,58,94
7:20:00,58,94
7:30:00,58,94
7:40:00,58,94
7:50:00,58,94
8:00:00,58,94
8:10:00,58,94
8:20:00,58,94
8:30:00,58,94
8:40:00,58,94
8:50:00,58,94
9:00:00,58,95
9:10:00,58,95
9:20:00,58,95
9:30:00,58,95
9:40:00,58,95
9:50:00,58,95
10:00:00,58,95
10:10:00,58,95
10:20:00,58,95
10:30:00,58,95
