Time, mq2_ppm, mq4_ppm
0,646,38
0,646,38
0,646,38
0,646,38
0,646,38
0,646,38
0,646,38
0,646,38
0,646,38
0,646,38
0,646,38
0,635,38
0,635,38
0,635,37
0,635,38
0,635,38
0,635,38
0,635,38
0,624,37
0,635,37
0,624,37
0,624,37
0,624,37
0,624,37
0,624,37
0,624,37
0,624,37
0,613,38
0,624,38
0,624,37
0,613,37
0,613,37
0,624,37
0,613,36
0,624,36
0,613,36
0,624,35
0,624,35
0,613,35
0,613,35
0,624,35
0,624,35
0,613,35
0,613,35
0,613,35
0,613,35
0,624,35
0,613,35
0,613,35
0,624,35
0,613,35
0,613,35
0,613,35
0,624,35
0,624,35
0,624,35
0,624,35
0,624,35
0,624,35
0,624,35
0,624,35
0,624,35
0,624,35
0,624,35
0,624,35
0,624,35
0,624,35
0,624,35
0,635,35
0,635,35
0,624,35
0,624,35
0,635,35
0,635,35
0,635,35
0,635,35
0,635,35
0,635,35
0,635,35
0,635,35
0,646,35
0,635,35
0,635,35
0,646,35
0,646,35
0,646,35
0,646,35
0,646,35
0,646,35
0,646,35
0,657,35
0,646,35
0,646,35
0,657,35
0,657,35
0,657,35
0,657,33
0,657,34
0,657,34
0,646,35
0,646,36
0,646,36
0,646,36
0,646,36
0,646,36
0,646,36
0,646,37
0,646,37
0,646,37
0,646,36
0,646,36
0,646,36
0,646,36
0,657,36
0,646,36
0,646,37
0,635,36
0,646,35
0,646,35
0,646,35
0,646,35
0,646,34
0,646,34
0,635,34
0,635,34
0,635,34
0,646,34
0,646,34
0,646,34
0,646,34
0,635,35
0,635,35
0,635,35
0,635,35
0,635,35
0,635,35
0,635,35
0,635,35
0,635,34
0,635,34
0,635,34
0,635,34
0,624,34
0,635,34
0,624,34
0,624,34
0,624,35
0,624,34
0,624,35
0,624,35
0,624,35
0,624,35
0,613,35
0,624,35
0,613,35
0,613,35
0,613,35
0,613,35
0,613,35
0,613,35
0,613,35
0,613,35
0,613,35
0,613,35
0,613,35
0,613,36
0,613,36
0,613,35
0,613,35
0,613,35
0,624,35
0,613,34
0,624,34
0,624,34
0,624,34
0,624,34
0,624,34
0,624,34
0,624,34
0,624,34
0,624,34
0,624,34
0,624,34
0,635,35
0,635,35
0,624,35
0,635,35
0,635,35
0,635,35
0,635,35
0,646,35
0,646,35
0,646,35
0,646,35
0,646,35
0,646,35
0,646,35
0,646,35
0,657,35
0,657,35
0,657,35
0,657,35
0,657,35
0,657,35
0,657,35
0,657,35
0,668,35
0,668,35
0,668,35
0,668,35
0,668,35
0,680,35
0,680,35
0,680,35
0,680,35
0,680,35
0,680,35
0,680,35
0,680,35
0,680,35
0,692,35
0,692,35
0,692,35
0,692,35
0,692,35
0,705,35
0,705,35
0,705,35
0,692,35
0,705,35
0,705,35
0,705,35
0,705,35
0,705,35
0,717,35
0,717,35
0,717,35
0,717,35
0,717,35
0,717,35
0,730,35
0,730,35
0,730,35
0,730,35
0,730,35
0,730,36
