Time,mq2_GI,mq4_GI,,,,,,,,,,,,
12:30:00,0,0,,,,,,,,,,,,
12:40:00,0,0,,,,,,,,,,,,
12:50:00,0,0,,,,,,,,,,,,
13:00:00,0,0,,,,,,,,,,,,
13:10:00,0,0,,,,,,,,,,,,
13:20:00,0,0,,,,,,,,,,,,
13:30:00,0,0,,,,,,,,,,,,
13:40:00,0,0,,,,,,,,,,,,
13:50:00,0,0,,,,,,,,,,,,
14:00:00,0,0,,,,,,,,,,,,
14:10:00,0,0,,,,,,,,,,,,
14:20:00,0,0,,,,,,,,,,,,
14:30:00,1,0,,,,,,,,,,,,
14:40:00,2,0,,,,,,,,,,,,
14:50:00,3,0,,,,,,,,,,,,
15:00:00,4,1,,,,,,,,,,,,
15:10:00,5,3,,,,,,,,,,,,
15:20:00,6,4,,,,,,,,,,,,
15:30:00,6,5,,,,,,,,,,,,
15:40:00,7,7,,,,,,,,,,,,
15:50:00,8,8,,,,,,,,,,,,
16:00:00,9,9,,,,,,,,,,,,
16:10:00,9,10,,,,,,,,,,,,
16:20:00,10,11,,,,,,,,,,,,
16:30:00,11,12,,,,,,,,,,,,
16:40:00,11,14,,,,,,,,,,,,
16:50:00,12,14,,,,,,,,,,,,
17:00:00,12,15,,,,,,,,,,,,
17:10:00,12,16,,,,,,,,,,,,
17:20:00,13,16,,,,,,,,,,,,
17:30:00,13,17,,,,,,,,,,,,
17:40:00,13,17,,,,,,,,,,,,
17:50:00,13,17,,,,,,,,,,,,
18:00:00,13,17,,,,,,,,,,,,
18:10:00,12,16,,,,,,,,,,,,
18:20:00,12,16,,,,,,,,,,,,
18:30:00,12,15,,,,,,,,,,,,
18:40:00,11,15,,,,,,,,,,,,
18:50:00,11,15,,,,,,,,,,,,
19:00:00,11,15,,,,,,,,,,,,
19:10:00,11,15,,,,,,,,,,,,
19:20:00,11,14,,,,,,,,,,,,
19:30:00,10,12,,,,,,,,,,,,
19:40:00,9,10,,,,,,,,,,,,
19:50:00,8,7,,,,,,,,,,,,
20:00:00,6,5,,,,,,,,,,,,
20:10:00,5,3,,,,,,,,,,,,
20:20:00,4,1,,,,,,,,,,,,
20:30:00,4,0,,,,,,,,,,,,
20:40:00,3,0,,,,,,,,,,,,
20:50:00,2,0,,,,,,,,,,,,
21:00:00,1,0,,,,,,,,,,,,
21:10:00,1,0,,,,,,,,,,,,
21:20:00,0,0,,,,,,,,,,,,
21:30:00,0,0,,,,,,,,,,,,
21:40:00,0,0,,,,,,,,,,,,
21:50:00,0,0,,,,,,,,,,,,
22:00:00,0,0,,,,,,,,,,,,
22:10:00,1,0,,,,,,,,,,,,
22:20:00,1,0,,,,,,,,,,,,
22:30:00,0,0,,,,,,,,,,,,
22:40:00,0,0,,,,,,,,,,,,
22:50:00,1,0,,,,,,,,,,,,
23:00:00,2,0,,,,,,,,,,,,
23:10:00,2,0,,,,,,,,,,,,
23:20:00,0,0,,,,,,,,,,,,
23:30:00,4,0,,,,,,,,,,,,
23:40:00,8,0,,,,,,,,,,,,
0:10:00,4,6,,,,,,,,,,,,
0:20:00,4,4,,,,,,,,,,,,
0:30:00,4,3,,,,,,,,,,,,
0:40:00,5,4,,,,,,,,,,,,
0:50:00,6,5,,,,,,,,,,,,
1:00:00,8,7,,,,,,,,,,,,
1:10:00,9,9,,,,,,,,,,,,
1:20:00,11,11,,,,,,,,,,,,
1:30:00,12,13,,,,,,,,,,,,
1:40:00,14,14,,,,,,,,,,,,
1:50:00,15,16,,,,,,,,,,,,
2:00:00,16,18,,,,,,,,,,,,
2:10:00,17,19,,,,,,,,,,,,
2:20:00,18,21,,,,,,,,,,,,
2:30:00,20,22,,,,,,,,,,,,
2:40:00,21,24,,,,,,,,,,,,
2:50:00,21,25,,,,,,,,,,,,
3:00:00,22,26,,,,,,,,,,,,
3:10:00,23,27,,,,,,,,,,,,
3:20:00,24,28,,,,,,,,,,,,
3:30:00,25,29,,,,,,,,,,,,
3:40:00,25,30,,,,,,,,,,,,
3:50:00,26,31,,,,,,,,,,,,
4:00:00,27,32,,,,,,,,,,,,
4:10:00,27,33,,,,,,,,,,,,
4:20:00,28,33,,,,,,,,,,,,
4:30:00,28,34,,,,,,,,,,,,
4:40:00,29,35,,,,,,,,,,,,
4:50:00,29,35,,,,,,,,,,,,
5:00:00,30,36,,,,,,,,,,,,
5:10:00,30,36,,,,,,,,,,,,
5:20:00,31,36,,,,,,,,,,,,
5:30:00,31,37,,,,,,,,,,,,
5:40:00,31,37,,,,,,,,,,,,
5:50:00,31,37,,,,,,,,,,,,
6:00:00,31,38,,,,,,,,,,,,
6:10:00,31,38,,,,,,,,,,,,
6:20:00,31,38,,,,,,,,,,,,
6:30:00,32,38,,,,,,,,,,,,
6:40:00,32,38,,,,,,,,,,,,
6:50:00,32,38,,,,,,,,,,,,
7:00:00,32,38,,,,,,,,,,,,
7:10:00,32,39,,,,,,,,,,,,
7:20:00,32,39,,,,,,,,,,,,
7:30:00,33,39,,,,,,,,,,,,
7:40:00,33,39,,,,,,,,,,,,
7:50:00,33,40,,,,,,,,,,,,
8:00:00,33,40,,,,,,,,,,,,
8:10:00,33,40,,,,,,,,,,,,
8:20:00,33,40,,,,,,,,,,,,
8:30:00,34,40,,,,,,,,,,,,
8:40:00,34,41,,,,,,,,,,,,
8:50:00,34,41,,,,,,,,,,,,
9:00:00,34,41,,,,,,,,,,,,
9:10:00,34,42,,,,,,,,,,,,
9:20:00,35,42,,,,,,,,,,,,
9:30:00,35,43,,,,,,,,,,,,
9:40:00,35,43,,,,,,,,,,,,
9:50:00,36,44,,,,,,,,,,,,
10:00:00,36,44,,,,,,,,,,,,
10:10:00,36,45,,,,,,,,,,,,
10:20:00,37,46,,,,,,,,,,,,
10:30:00,37,46,,,,,,,,,,,,
10:40:00,37,47,,,,,,,,,,,,
10:50:00,38,47,,,,,,,,,,,,
11:00:00,38,48,,,,,,,,,,,,
11:10:00,39,49,,,,,,,,,,,,
11:20:00,39,49,,,,,,,,,,,,
11:30:00,39,50,,,,,,,,,,,,
11:40:00,39,50,,,,,,,,,,,,
11:50:00,40,51,,,,,,,,,,,,
12:00:00,40,51,,,,,,,,,,,,
12:10:00,40,52,,,,,,,,,,,,
12:20:00,41,52,,,,,,,,,,,,
12:30:00,41,52,,,,,,,,,,,,
12:40:00,41,53,,,,,,,,,,,,
12:50:00,41,53,,,,,,,,,,,,
13:00:00,42,54,,,,,,,,,,,,
13:10:00,42,54,,,,,,,,,,,,
13:20:00,42,54,,,,,,,,,,,,
13:30:00,42,55,,,,,,,,,,,,
13:40:00,43,55,,,,,,,,,,,,
13:50:00,43,55,,,,,,,,,,,,
14:00:00,43,56,,,,,,,,,,,,
14:10:00,43,56,,,,,,,,,,,,
14:20:00,44,56,,,,,,,,,,,,
14:30:00,44,57,,,,,,,,,,,,
14:40:00,44,57,,,,,,,,,,,,
14:50:00,44,57,,,,,,,,,,,,
15:00:00,44,58,,,,,,,,,,,,
15:10:00,45,58,,,,,,,,,,,,
15:20:00,45,58,,,,,,,,,,,,
15:30:00,45,59,,,,,,,,,,,,
15:40:00,45,59,,,,,,,,,,,,
15:50:00,45,59,,,,,,,,,,,,
16:00:00,45,60,,,,,,,,,,,,
16:10:00,46,60,,,,,,,,,,,,
16:20:00,46,60,,,,,,,,,,,,
16:30:00,46,60,,,,,,,,,,,,
16:40:00,46,61,,,,,,,,,,,,
16:50:00,46,61,,,,,,,,,,,,
17:00:00,46,61,,,,,,,,,,,,
17:10:00,46,62,,,,,,,,,,,,
17:20:00,47,62,,,,,,,,,,,,
17:30:00,47,62,,,,,,,,,,,,
17:40:00,47,62,,,,,,,,,,,,
17:50:00,47,63,,,,,,,,,,,,
18:00:00,47,63,,,,,,,,,,,,
18:10:00,47,63,,,,,,,,,,,,
18:20:00,47,63,,,,,,,,,,,,
18:30:00,47,64,,,,,,,,,,,,
18:40:00,48,64,,,,,,,,,,,,
18:50:00,48,64,,,,,,,,,,,,
19:00:00,48,64,,,,,,,,,,,,
19:10:00,48,65,,,,,,,,,,,,
19:20:00,48,65,,,,,,,,,,,,
19:30:00,48,65,,,,,,,,,,,,
19:40:00,48,65,,,,,,,,,,,,
19:50:00,48,66,,,,,,,,,,,,
20:00:00,49,66,,,,,,,,,,,,
20:10:00,49,66,,,,,,,,,,,,
20:20:00,49,66,,,,,,,,,,,,
20:30:00,49,67,,,,,,,,,,,,
20:40:00,49,67,,,,,,,,,,,,
20:50:00,49,67,,,,,,,,,,,,
21:00:00,49,67,,,,,,,,,,,,
21:10:00,49,68,,,,,,,,,,,,
21:20:00,49,68,,,,,,,,,,,,
21:30:00,49,68,,,,,,,,,,,,
21:40:00,50,68,,,,,,,,,,,,
21:50:00,50,69,,,,,,,,,,,,
22:00:00,50,69,,,,,,,,,,,,
22:10:00,50,69,,,,,,,,,,,,
22:20:00,50,69,,,,,,,,,,,,
22:30:00,50,70,,,,,,,,,,,,
22:40:00,50,70,,,,,,,,,,,,
22:50:00,50,70,,,,,,,,,,,,
23:00:00,50,71,,,,,,,,,,,,
23:10:00,50,71,,,,,,,,,,,,
23:20:00,51,71,,,,,,,,,,,,
23:30:00,51,72,,,,,,,,,,,,
23:40:00,51,72,,,,,,,,,,,,
23:50:00,51,72,,,,,,,,,,,,
24:00:00,51,72,,,,,,,,,,,,
24:10:00,51,72,,,,,,,,,,,,
24:20:00,51,73,,,,,,,,,,,,
24:30:00,54,77,,,,,,,,,,,,
24:40:00,56,80,,,,,,,,,,,,
24:50:00,57,82,,,,,,,,,,,,
25:00:00,58,83,,,,,,,,,,,,
25:10:00,59,85,,,,,,,,,,,,
25:20:00,59,86,,,,,,,,,,,,
25:30:00,60,86,,,,,,,,,,,,
25:40:00,60,87,,,,,,,,,,,,
25:50:00,60,88,,,,,,,,,,,,
26:00:00,60,88,,,,,,,,,,,,
26:10:00,60,88,,,,,,,,,,,,
26:20:00,61,89,,,,,,,,,,,,
26:30:00,61,89,,,,,,,,,,,,
26:40:00,61,89,,,,,,,,,,,,
26:50:00,61,90,,,,,,,,,,,,
27:00:00,61,90,,,,,,,,,,,,
27:10:00,61,90,,,,,,,,,,,,
27:20:00,61,90,,,,,,,,,,,,
27:30:00,61,90,,,,,,,,,,,,
27:40:00,61,90,,,,,,,,,,,,
27:50:00,61,91,,,,,,,,,,,,
28:00:00,61,91,,,,,,,,,,,,
28:10:00,61,91,,,,,,,,,,,,
28:20:00,61,91,,,,,,,,,,,,
28:30:00,61,91,,,,,,,,,,,,
28:40:00,61,91,,,,,,,,,,,,
28:50:00,61,91,,,,,,,,,,,,
29:00:00,61,91,,,,,,,,,,,,
29:10:00,61,91,,,,,,,,,,,,
29:20:00,61,91,,,,,,,,,,,,
29:30:00,61,91,,,,,,,,,,,,
29:40:00,61,92,,,,,,,,,,,,
29:50:00,61,92,,,,,,,,,,,,
30:00:00,61,92,,,,,,,,,,,,
30:10:00,61,92,,,,,,,,,,,,
30:20:00,61,92,,,,,,,,,,,,
30:30:00,61,92,,,,,,,,,,,,
30:40:00,61,92,,,,,,,,,,,,
30:50:00,61,92,,,,,,,,,,,,
31:00:00,61,92,,,,,,,,,,,,
31:10:00,61,92,,,,,,,,,,,,
31:20:00,61,92,,,,,,,,,,,,
31:30:00,61,92,,,,,,,,,,,,
31:40:00,61,92,,,,,,,,,,,,
31:50:00,61,92,,,,,,,,,,,,
32:00:00,61,92,,,,,,,,,,,,
32:10:00,61,93,,,,,,,,,,,,
32:20:00,61,93,,,,,,,,,,,,
32:30:00,61,93,,,,,,,,,,,,
32:40:00,61,93,,,,,,,,,,,,
32:50:00,61,93,,,,,,,,,,,,
33:00:00,61,93,,,,,,,,,,,,
33:10:00,61,93,,,,,,,,,,,,
33:20:00,61,93,,,,,,,,,,,,
33:30:00,61,93,,,,,,,,,,,,
33:40:00,61,93,,,,,,,,,,,,
33:50:00,61,93,,,,,,,,,,,,
34:00:00,61,93,,,,,,,,,,,,
34:10:00,61,94,,,,,,,,,,,,
34:20:00,61,94,,,,,,,,,,,,
34:30:00,61,94,,,,,,,,,,,,
34:40:00,61,94,,,,,,,,,,,,
34:50:00,61,94,,,,,,,,,,,,
35:00:00,61,94,,,,,,,,,,,,
35:10:00,61,94,,,,,,,,,,,,
35:20:00,61,94,,,,,,,,,,,,
35:30:00,62,94,,,,,,,,,,,,
35:40:00,62,94,,,,,,,,,,,,
35:50:00,62,94,,,,,,,,,,,,
36:00:00,62,94,,,,,,,,,,,,
36:10:00,62,94,,,,,,,,,,,,
36:20:00,62,95,,,,,,,,,,,,
36:30:00,62,95,,,,,,,,,,,,
36:40:00,62,95,,,,,,,,,,,,
36:50:00,62,95,,,,,,,,,,,,
37:00:00,62,95,,,,,,,,,,,,
37:10:00,62,95,,,,,,,,,,,,
37:20:00,62,95,,,,,,,,,,,,
37:30:00,62,95,,,,,,,,,,,,
37:40:00,62,95,,,,,,,,,,,,
37:50:00,62,95,,,,,,,,,,,,
