Time,mq2_ppm,mq4_ppm
90000000,8,196
90600000,8,196
91200000,8,199
91800000,8,199
92400000,8,201
93000000,8,201
93600000,8,203
94200000,8,203
94800000,8,206
95400000,8,206
96000000,8,208
96600000,8,208
97200000,8,208
97800000,8,211
98400000,8,211
99000000,8,213
99600000,8,211
100200000,8,211
100800000,8,211
101400000,8,211
102000000,8,213
102600000,8,213
103200000,8,213
103800000,8,213
104400000,8,215
105000000,8,215
105600000,8,218
106200000,8,218
106800000,8,220
107400000,8,223
108000000,8,223
108600000,8,226
109200000,8,226
109800000,8,228
110400000,8,231
111000000,8,231
111600000,8,234
112200000,8,234
112800000,8,236
113400000,8,236
114000000,8,239
114600000,8,239
115200000,8,242
115800000,8,242
116400000,8,245
117000000,8,245
117600000,8,247
118200000,8,247
118800000,8,250
119400000,8,250
120000000,8,253
120600000,8,259
121200000,8,265
121800000,8,265
122400000,8,268
123000000,8,271
123600000,8,271
124200000,8,271
124800000,8,275
125400000,8,275
126000000,7,278
126600000,7,275
127200000,7,275
127800000,7,278
128400000,7,278
129000000,7,281
129600000,7,281
130200000,7,284
130800000,7,284
131400000,7,288
132000000,7,288
132600000,7,291
133200000,7,291
133800000,7,291
134400000,7,294
135000000,7,294
135600000,7,305
136200000,7,308
136800000,7,308
137400000,7,308
138000000,7,308
138600000,7,312
139200000,7,312
139800000,7,312
140400000,7,315
141000000,7,315
141600000,7,319
142200000,7,319
142800000,7,319
143400000,7,319
144000000,7,323
144600000,7,323
145200000,7,323
145800000,7,327
146400000,7,327
147000000,7,330
147600000,7,330
148200000,7,330
148800000,7,330
149400000,7,334
150000000,7,334
150600000,7,334
151200000,8,338
151800000,8,338
152400000,8,338
153000000,8,342
153600000,8,342
154200000,8,342
154800000,8,346
155400000,8,346
156000000,8,346
156600000,8,350
157200000,8,350
157800000,8,350
158400000,8,354
159000000,8,354
159600000,8,354
160200000,8,354
160800000,8,358
161400000,8,358
162000000,8,363
162600000,8,363
163200000,8,363
163800000,8,367
164400000,8,367
165000000,8,367
165600000,8,371
166200000,8,371
166800000,8,371
167400000,8,375
168000000,8,375
168600000,8,375
169200000,8,380
169800000,8,380
170400000,8,384
171000000,8,380
171600000,8,375
172200000,8,375
172800000,8,375
173400000,8,380
174000000,8,389
174600000,8,389
175200000,8,393
175800000,8,403
176400000,8,403
177000000,8,407
177600000,8,407
178200000,8,407
178800000,8,412
179400000,8,412
180000000,8,417
180600000,8,417
181200000,8,417
181800000,8,422
182400000,8,422
183000000,8,422
183600000,8,427
184200000,8,427
184800000,8,427
185400000,8,432
186000000,8,432
186600000,8,432
187200000,8,437
187800000,8,437
188400000,8,427
189000000,8,427
189600000,8,432
190200000,8,432
190800000,8,437
191400000,8,437
192000000,8,437
192600000,8,442
193200000,8,442
193800000,8,442
194400000,8,447
195000000,8,447
195600000,8,447
196200000,8,452
196800000,8,452
197400000,8,458
198000000,8,458
198600000,8,463
199200000,8,463
199800000,8,463
200400000,8,463
201000000,8,469
201600000,8,469
202200000,8,469
202800000,8,474
203400000,8,474
204000000,8,480
204600000,8,480
205200000,8,485
205800000,8,485
206400000,8,485
207000000,8,485
207600000,8,491
208200000,8,491
208800000,8,497
209400000,8,497
210000000,8,503
210600000,8,503
211200000,8,503
211800000,8,509
212400000,8,509
213000000,8,515
213600000,8,515
214200000,8,515
214800000,8,521
215400000,8,521
216000000,8,527
216600000,8,527
217200000,8,527
217800000,8,527
218400000,8,533
219000000,8,533
219600000,8,540
220200000,8,540
220800000,8,546
221400000,8,546
222000000,8,546
222600000,8,553
223200000,9,553
223800000,9,559
224400000,9,559
225000000,9,559
225600000,9,566
226200000,9,566
226800000,9,566
227400000,9,559
228000000,9,566
228600000,9,573
229200000,9,566
229800000,9,566
230400000,9,573
231000000,9,573
231600000,9,579
232200000,9,579
232800000,9,586
233400000,9,586
234000000,9,593
234600000,9,593
235200000,9,600
235800000,9,600
236400000,9,608
237000000,9,608
237600000,9,608
238200000,9,615
238800000,9,622
239400000,9,622
240000000,9,622
240600000,9,630
241200000,9,630
241800000,9,630
242400000,9,637
243000000,9,637
243600000,9,637
244200000,9,637
244800000,9,637
245400000,9,645
246000000,9,645
246600000,9,653
247200000,9,653
247800000,9,710
248400000,9,701
249000000,9,701
249600000,9,701
250200000,9,701
250800000,9,701
251400000,9,693
252000000,9,701
252600000,9,701
253200000,9,693
253800000,9,693
254400000,9,693
255000000,9,701
255600000,9,710
256200000,9,710
256800000,9,718
257400000,9,710
258000000,9,718
258600000,9,718
259200000,9,718
259800000,9,727
260400000,9,727
261000000,9,727
261600000,9,727
262200000,9,736
262800000,10,763
263400000,10,791
264000000,10,781
264600000,10,781
265200000,10,781
265800000,10,772
266400000,10,772
267000000,10,772
267600000,10,772
268200000,10,772
268800000,10,772
269400000,10,772
270000000,10,781
270600000,10,781
271200000,10,791
271800000,10,791
272400000,10,791
273000000,10,791
273600000,10,800
274200000,10,800
274800000,10,800
275400000,10,810
276000000,10,810
276600000,10,810
277200000,10,810
277800000,10,820
278400000,10,820
279000000,10,820
279600000,10,830
280200000,10,830
280800000,10,830
281400000,10,830
282000000,11,840
282600000,11,840
283200000,11,840
283800000,11,850
284400000,11,850
285000000,11,850
285600000,11,861
286200000,11,861
286800000,11,861
287400000,11,871
288000000,11,871
288600000,11,871
289200000,11,871
289800000,11,871
290400000,11,882
291000000,11,882
291600000,11,882
292200000,11,882
292800000,11,893
293400000,11,893
294000000,11,893
294600000,12,904
295200000,12,904
295800000,12,915
296400000,12,915
297000000,12,915
297600000,12,926
298200000,12,926
298800000,12,926
299400000,12,926
300000000,12,938
300600000,12,938
301200000,12,949
301800000,12,949
302400000,12,961
303000000,12,961
303600000,12,961
304200000,13,961
304800000,13,973
305400000,13,973
306000000,13,985
306600000,13,997
